ID,開催年,開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
1,2025,9月3日,9月4日,見本市,フクイ建設技術フェア2025,全国,3000,福井市,福井県産業会館
2,2025,10月23日,10月24日,見本市,ふくいITフォーラム2025,全国,18000,福井市,福井県産業会館
