ID,開催年,開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
40,2025,8月23日,,会議・大会,第5回全国高校生プレゼン甲子園 決勝大会,全国,200 ,福井市,ハピリンホール・ハピテラス
41,2025,8月23日,8月24日,会議・大会,日本行動分析学会第43回年次大会,国際,600 ,福井市,福井県県民ホール/福井市地域交流プラザ/福井県繊協ビル
42,2025,9月4日,9月5日,会議・大会,2025年電力技術／電力系統技術合同研究会,ブロック,200 ,福井市,福井大学文京キャンパス
43,2025,9月12日,9月14日,会議・大会,第41回日本診療放射線技師学術大会,国際,"2,830 ",福井市,ハピリンホール・ハピテラス/福井県国際交流会館/セーレンプラネット/福井市ボランティアセンター/コートヤード・バイ・マリオット
44,2025,9月12日,9月14日,会議・大会,第53回全国アマチュアオーケストラフェスティバル福井大会,国際,330 ,福井市,福井県立音楽堂（ハーモニーホールふくい）/ザ・グランユアーズ フクイ
45,2025,9月20日,9月21日,会議・大会,コ・メディカル形態機能学会 第23回学術集会・総会,全国,100 ,福井市,福井県県民ホール/ウェルアオッサ
46,2025,9月20日,,会議・大会,第22回日仏整形外科学会,国際,200 ,福井市,福井県繊協ビル
47,2025,9月25日,9月26日,会議・大会,令和7年度北信越地区高等学校長協会 総会・研究協議会,ブロック,220 ,福井市,福井県県民ホール/福井市地域交流プラザ
48,2025,9月26日,9月28日,会議・大会,第6回アジア恐竜国際シンポジウム,国際,100 ,勝山市,福井県立恐竜博物館
49,2025,9月27日,9月28日,会議・大会,第61回明治大学全国校友福井大会,国際,"1,300 ",福井市,福井県繊協ビル/ザ・グランユアーズ フクイ/フェニックス・プラザ/福井市観光交流センター
50,2025,9月27日,9月29日,会議・大会,第21回全国和算研究大会福井県丹南地区大会,全国,125 ,越前市,市民プラザたけふ
51,2025,9月28日,,会議・大会,第17回ちりとてちん杯全国女性落語大会,全国,30 ,小浜市,小浜市文化会館/まちの駅旭座
52,2025,9月29日,9月30日,会議・大会,令和7年度　有機合成化学北陸セミナー,ブロック,130 ,あわら市,まつや千千
53,2025,10月3日,10月4日,会議・大会,日本高次脳機能障害友会第24回全国大会2025,全国,550 ,福井市,福井県県民ホール/福井市地域交流プラザ/ザ・グランユアーズ フクイ
54,2025,10月4日,10月5日,会議・大会,第67回北信越ろうあ者大会及び第51回北信越手話通訳問題研究集会,ブロック,300 ,敦賀市,プラザ萬象/ニューサンピア敦賀/あいあいプラザ
55,2025,10月8日,10月9日,会議・大会,第71回中部バス協会技術委員会大会,ブロック,102 ,あわら市,グランディア芳泉
56,2025,10月11日,10月13日,会議・大会,一般社団法人全国医師国民健康保険組合 第63回全体協議会,全国,450 ,福井市,福井県県民ホール/福井市地域交流プラザ/コートヤード・バイ・マリオット
57,2025,10月12日,10月13日,会議・大会,第24回発達性ディスレクシア研究会福井大会,全国,250 ,福井市,福井市地域交流プラザ
58,2025,10月15日,10月16日,会議・大会,第26回商工会女性部全国大会inふくい,全国,"2,000 ",越前市/福井市,サンドーム福井/ザ・グランユアーズ フクイ
59,2025,10月17日,10月19日,会議・大会,第36回源氏物語アカデミー,全国,"1,000 ",越前市,ホテルクラウンヒルズ武生
60,2025,10月22日,10月24日,会議・大会,第34回プレストレストコンクリー卜の発展に関するシンポジウム,全国,550 ,福井市,フェニックス・プラザ/ザ・グランユアーズ フクイ
61,2025,10月22日,10月24日,会議・大会,全国道路利用者会議　第75回全国大会,全国,600 ,福井市/小浜市/あわら市/勝山市,コートヤード・バイ・マリオット福井/福井商工会議所ビル/ホテルせくみ屋/グランディア芳泉/勝山市滞在型コンベンション施設 勝山ニューホテル
62,2025,10月23日,10月24日,会議・大会,北信越畜産学会第72回大会（福井県大会）,ブロック,100 ,福井市,福井市地域交流プラザ
63,2025,10月24日,10月26日,会議・大会,第 29 回 日本ウォーキング学会福井大会,全国,110 ,福井市,福井工業大学
64,2025,10月25日,10月26日,会議・大会,第41回東海北陸理学療法士学術大会,ブロック,"2,000 ",福井市,福井県県民ホール/ハピリンホール・ハピテラス
65,2025,10月30日,10月31日,会議・大会,中核市サミット2025in福井,全国,500 ,福井市,フェニックス・プラザ/ザ・グランユアーズ フクイ
66,2025,10月31日,11月1日,会議・大会,第44回 躁うつ病の薬理・生化学的研究懇話会,全国,120 ,あわら市,グランディア芳泉
67,2025,10月31日,11月2日,会議・大会,2025年度水産海洋学会研究発表大会,全国,175 ,福井市,福井県国際交流会館
68,2025,11月1日,11月2日,会議・大会,第25回中部臨床工学会,ブロック,300 ,福井市,福井県県民ホール/福井市地域交流プラザ
69,2025,11月2日,,会議・大会,第30回全日本素人そば打ち名人大会,全国,100 ,福井市,ハピリンホール・ハピテラス
70,2025,11月2日,11月3日,会議・大会,第65回北陸信越薬剤師大会・第58回北陸信越薬剤師学術大会,全国,350 ,福井市,福井商工会議所ビル
71,2025,11月6日,,会議・大会,矯正施設所在自治体会議 中部地域部会,ブロック,60 ,福井市,ハピリンホール・ハピテラス
72,2025,11月8日,11月9日,会議・大会,第22回全国高等専門学校デザインコンペティション2025 in 福井,全国,400 ,鯖江市,鯖江市嚮陽会館/まなべの館
73,2025,11月9日,,会議・大会,第67回近畿・東海・北陸ブロック民俗芸能大会 福井大会,ブロック,200 ,福井市,福井県県民ホール/福井市地域交流プラザ
74,2025,11月13日,11月15日,会議・大会,第66回日本児童青年精神医学会総会,全国,"2,200 ",福井市,福井県県民ホール/福井市地域交流プラザ/ハピリンホール・ハピテラス/アオッサ７F（706.707会議室）
