開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
2025-04-03,2025-04-05,会議・大会,第144回中部日本整形外科災害外科学会・学術集会　,国際,1200,福井市,フェニックス・プラザ/福井市体育館/コートヤード・バイ・マリオット/ザ・グランユアーズ フクイ
2025-05-14,2025-05-16,会議・大会,第73回全国広告連盟福井大会,全国,1000,福井市,フェニックス・プラザ/ザ・グランユアーズ フクイ/コートヤード・バイ・マリオット福井/
2025-05-14,2025-05-17,会議・大会,第14回国際法医放射線画像学会（ISFRI2025 14th Congress of Radiology and Imaging),国際,200,福井市,福井県国際交流会館/ザ・グランユアーズ フクイ
2025-05-21,2025-05-23,会議・大会,第50回日本外科系連合学会学術集会,全国,1000,福井市,フェニックス・プラザ/ハピリンホール・ハピテラス/コートヤード・バイ・マリオット
2025-05-22,2025-05-23,会議・大会,第63回全国国立大学臨床検査技師会総会及び第25回全国国立大学病院臨床検査技師長会,全国,70,福井市,福井市地域交流プラザ
2025-05-23,2025-05-25,会議・大会,第43回　日本生理心理学会大会,全国,300,越前市,仁愛大学
2025-05-28,2025-05-30,会議・大会,第19回日本分子イメージング学会総会・学術集会,全国,210,福井市,福井県県民ホール/福井市地域交流プラザ
2025-05-31,2025-06-01,会議・大会,小倉百人一首　第57回全国女流選手権大会,全国,350,あわら市,清風荘
2025-06-04,2025-06-05,会議・大会,第74回全国高等学校定時制通信制教育振興会北信越地区大会福井大会,ブロック,90,福井市,福井県繊協ビル/ザ・グランユアーズ フクイ
2025-06-05,2025-06-07,会議・大会,第64回日本生体医工学会大会,全国,1300,福井市,フェニックス・プラザ
2025-06-09,2025-06-10,会議・大会,北陸地区知的障害者福祉協会施設長会議,ブロック,150,福井市,福井県県民ホール
2025-06-11,2025-06-14,会議・大会,"EM-NANO2025
（Organic and Inorganic Electronic Materials and Related Nanotechnologies）",国際,300,福井市,福井県県民ホール/福井市地域交流プラザ/ザ・グランユアーズ フクイ/福井県繊協ビル
2025-06-12,2025-06-13,会議・大会,第50回全日本愛瓢会 展示会・総会,全国,680,福井市,ハピリンホール・ハピテラス
