開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
2025-06-13,2025-06-14,会議・大会,2025年度　全国鉄鋼販売業連合会　福井大会,全国,100,福井市,コートヤード・バイ・マリオット
2025-06-14,,会議・大会,第17回日本呼吸ケア・リハビリテーション学会北陸支部学術集会,ブロック,100,永平寺町,福井大学医学部付属病院
2025-06-14,2025-06-15,会議・大会,日本メンデル協会第2回大会,全国,70,福井市,亀の井ホテル
2025-06-18,2025-06-20,会議・大会,第18回日本エピジェネティクス研究会年会,国際,400,福井市,福井県県民ホール/福井市地域交流プラザ/ウェルアオッサ/福井県繊協ビル
2025-06-21,2025-06-22,会議・大会,"一般社団法人　全日本瓦工事業連盟　青年部　
令和7年度全国部長会議＆40周年記念式典",全国,130,福井市,福井市地域交流プラザ
2025-06-21,2025-06-24,会議・大会,公益社団法人日本リウマチ友の会　第65回全国大会,全国,260,福井市,福井県県民ホール/福井市地域交流プラザ
2025-06-28,2025-06-29,会議・大会,公益社団法人日本柔道整復師会 第45回北信越学術大会　福井大会,ブロック,360,福井市,ザ・グランユアーズ フクイ
2025-06-30,2025-07-02,会議・大会,"SNPD 2025
（IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing ）",国際,110,福井市,福井県国際交流会館
2025-07-01,,会議・大会,日本民間放送連盟賞 中部・北陸ブロック地区審査会,ブロック,150,福井市,福井県繊協ビル/ザ・グランユアーズ フクイ
2025-07-02,2025-07-04,会議・大会,第103回大腸癌研究会学術集会,全国,700,福井市,ザ・グランユアーズ フクイ/福井県繊協ビル/福井銀行本店２階ホール
2025-07-04,2025-07-06,会議・大会,"学校改革実践研究福井ラウンドテーブル2025 
Summer Session",全国,450,福井市,福井大学文京キャンパス
2025-07-05,2025-07-06,会議・大会,令和7年度日本歯科技工士会東海北陸ブロック協議会,ブロック,50,福井市,福井パレスホテル
2025-07-06,2025-07-11,会議・大会,Japan-China Bilateral Symposium on Engineering 2025 Spring （通称：日中スプリングプログラム2025）,国際,100,福井市,福井大学文京キャンパス
2025-07-06,2025-07-11,会議・大会,第16回 国内版バイオハッカソンBH25.7,全国,70,福井市/坂井市,福井市地域交流プラザ/三国オーシャンリゾート＆ホテル
2025-07-08,,会議・大会,令和7年度関西商工会議所連合会総会,ブロック,300,福井市,ザ・グランユアーズ フクイ
2025-07-08,2025-07-10,会議・大会,MMPG第179回全体会・定例研修会,全国,200,福井市,税理士法人合同経営会計事務所/ザ・グランユアーズ フクイ
2025-07-11,2025-07-12,会議・大会,北信越地区高等学校ＰＴＡ連合会研究大会福井大会,ブロック,1000,福井市,フェニックス・プラザ/コートヤード・バイ・マリオット福井/ザ・グランユアーズ フクイ
2025-07-18,2025-07-19,会議・大会,学術変革領域研究（A）予知生合成科学　第6回公開シンポジウム,全国,200,福井市,コートヤード・バイ・マリオット
2025-07-19,,会議・大会,第94回日本病理学会中部支部交見会,ブロック,100,福井市,福井市地域交流プラザ
2025-07-22,2025-07-23,会議・大会,北信越シルバー人材センター連絡協議会　令和7年度定期総会,ブロック,100,福井市,ザ・グランユアーズ フクイ
2025-07-22,2025-07-25,会議・大会,株式会社アーネストワン福井研修,全国,150,坂井市,三国オーシャンリゾート＆ホテル
2025-07-25,2025-07-26,会議・大会,令和7年度　済生会北信越ブロック看護研修会,ブロック,60,福井市,福井県繊協ビル/ザ・グランユアーズ フクイ
2025-07-28,2025-08-01,会議・大会,技術アカデミー　リーダーシップ研修,全国,60,美浜町,美浜町生涯学習センターなびあす
2025-08-01,,会議・大会,北信越ブロック国際理解教育研究大会,ブロック,80,福井市,福井県国際交流会館
2025-08-10,2025-08-11,会議・大会,第9回「山の日」全国大会 FUKUI2025,全国,3700,大野市/勝山市,結とぴあ/エキサイト広場総合体育施設/スキージャム勝山
2025-08-21,2025-08-23,会議・大会,IEEE ICCSE （International Conference on Computer Science & Education),国際,150,福井市,福井県国際交流会館
2025-08-23,,会議・大会,第5回全国高校生プレゼン甲子園 決勝大会,全国,200,福井市,ハピリンホール・ハピテラス
2025-08-23,2025-08-24,会議・大会,日本行動分析学会第43回年次大会,国際,600,福井市,福井県県民ホール/福井市地域交流プラザ/福井県繊協ビル
2025-09-04,2025-09-05,会議・大会,2025年電力技術／電力系統技術合同研究会,ブロック,200,福井市,福井大学文京キャンパス
2025-09-12,2025-09-14,会議・大会,第41回日本診療放射線技師学術大会,国際,2830,福井市,ハピリンホール・ハピテラス/福井県国際交流会館/セーレンプラネット/福井市ボランティアセンター/コートヤード・バイ・マリオット
2025-09-12,2025-09-14,会議・大会,第53回全国アマチュアオーケストラフェスティバル福井大会,国際,330,福井市,福井県立音楽堂（ハーモニーホールふくい）/ザ・グランユアーズ フクイ
2025-09-20,2025-09-21,会議・大会,コ・メディカル形態機能学会 第23回学術集会・総会,全国,100,福井市,福井県県民ホール/ウェルアオッサ
2025-09-20,,会議・大会,第22回日仏整形外科学会,国際,200,福井市,福井県繊協ビル
2025-09-25,2025-09-26,会議・大会,令和7年度北信越地区高等学校長協会 総会・研究協議会,ブロック,220,福井市,福井県県民ホール/福井市地域交流プラザ
2025-09-26,2025-09-28,会議・大会,第6回アジア恐竜国際シンポジウム,国際,100,勝山市,福井県立恐竜博物館
2025-09-27,2025-09-28,会議・大会,第61回明治大学全国校友福井大会,国際,1300,福井市,福井県繊協ビル/ザ・グランユアーズ フクイ/フェニックス・プラザ/福井市観光交流センター
2025-09-27,2025-09-29,会議・大会,第21回全国和算研究大会福井県丹南地区大会,全国,125,越前市,市民プラザたけふ
2025-09-28,,会議・大会,第17回ちりとてちん杯全国女性落語大会,全国,30,小浜市,小浜市文化会館/まちの駅旭座
2025-09-29,2025-09-30,会議・大会,令和7年度　有機合成化学北陸セミナー,ブロック,130,あわら市,まつや千千
2025-10-03,2025-10-04,会議・大会,日本高次脳機能障害友会第24回全国大会2025,全国,550,福井市,福井県県民ホール/福井市地域交流プラザ/ザ・グランユアーズ フクイ
2025-10-04,2025-10-05,会議・大会,第67回北信越ろうあ者大会及び第51回北信越手話通訳問題研究集会,ブロック,300,敦賀市,プラザ萬象/ニューサンピア敦賀/あいあいプラザ
2025-10-08,2025-10-09,会議・大会,第71回中部バス協会技術委員会大会,ブロック,102,あわら市,グランディア芳泉
2025-10-11,2025-10-13,会議・大会,一般社団法人全国医師国民健康保険組合 第63回全体協議会,全国,450,福井市,福井県県民ホール/福井市地域交流プラザ/コートヤード・バイ・マリオット
2025-10-12,2025-10-13,会議・大会,第24回発達性ディスレクシア研究会福井大会,全国,250,福井市,福井市地域交流プラザ
2025-10-15,2025-10-16,会議・大会,第26回商工会女性部全国大会inふくい,全国,2000,越前市/福井市,サンドーム福井/ザ・グランユアーズ フクイ
2025-10-17,2025-10-19,会議・大会,第36回源氏物語アカデミー,全国,1000,越前市,ホテルクラウンヒルズ武生
2025-10-22,2025-10-24,会議・大会,第34回プレストレストコンクリー卜の発展に関するシンポジウム,全国,550,福井市,フェニックス・プラザ/ザ・グランユアーズ フクイ
2025-10-22,2025-10-24,会議・大会,全国道路利用者会議　第75回全国大会,全国,600,福井市/小浜市/あわら市/勝山市,コートヤード・バイ・マリオット福井/福井商工会議所ビル/ホテルせくみ屋/グランディア芳泉/勝山市滞在型コンベンション施設 勝山ニューホテル
2025-10-23,2025-10-24,会議・大会,北信越畜産学会第72回大会（福井県大会）,ブロック,100,福井市,福井市地域交流プラザ
2025-10-24,2025-10-26,会議・大会,第 29 回 日本ウォーキング学会福井大会,全国,110,福井市,福井工業大学
2025-10-25,2025-10-26,会議・大会,第41回東海北陸理学療法士学術大会,ブロック,2000,福井市,福井県県民ホール/ハピリンホール・ハピテラス
2025-10-30,2025-10-31,会議・大会,中核市サミット2025in福井,全国,500,福井市,フェニックス・プラザ/ザ・グランユアーズ フクイ
2025-10-31,2025-11-01,会議・大会,第44回 躁うつ病の薬理・生化学的研究懇話会,全国,120,あわら市,グランディア芳泉
2025-10-31,2025-11-02,会議・大会,2025年度水産海洋学会研究発表大会,全国,175,福井市,福井県国際交流会館
2025-11-01,2025-11-02,会議・大会,第25回中部臨床工学会,ブロック,300,福井市,福井県県民ホール/福井市地域交流プラザ
2025-11-02,,会議・大会,第30回全日本素人そば打ち名人大会,全国,100,福井市,ハピリンホール・ハピテラス
2025-11-02,2025-11-03,会議・大会,第65回北陸信越薬剤師大会・第58回北陸信越薬剤師学術大会,全国,350,福井市,福井商工会議所ビル
2025-11-06,,会議・大会,矯正施設所在自治体会議 中部地域部会,ブロック,60,福井市,ハピリンホール・ハピテラス
2025-11-08,2025-11-09,会議・大会,第22回全国高等専門学校デザインコンペティション2025 in 福井,全国,400,鯖江市,鯖江市嚮陽会館/まなべの館
2025-11-09,,会議・大会,第67回近畿・東海・北陸ブロック民俗芸能大会 福井大会,ブロック,200,福井市,福井県県民ホール/福井市地域交流プラザ
2025-11-13,2025-11-15,会議・大会,第66回日本児童青年精神医学会総会,全国,2200,福井市,福井県県民ホール/福井市地域交流プラザ/ハピリンホール・ハピテラス/アオッサ７F（706.707会議室）
2025-11-15,2025-11-16,会議・大会,第20回ムギ類研究会,全国,120,永平寺町/福井市,福井県立大学永平寺キャンパス/繊協ビル
2025-11-17,2025-11-18,会議・大会,北信越シルバー人材センター連絡協議会　職員研修会、経験交流会,ブロック,50,福井市,未定
2025-11-20,2025-11-21,会議・大会,北信越ブロッククラブネットワークアクション2025　情報交換会,全国,150,福井市,ハピリンホール・ハピテラス
2025-11-22,2025-11-23,会議・大会,第25回全国山羊サミット北陸大会,全国,200,福井市,福井県県民ホール（AOSSA 8F）
2025-11-22,2025-11-24,会議・大会,第72回土木計画学研究発表会,全国,1300,福井市,福井工業大学/フェニックス・プラザ
2025-11-27,2025-11-28,会議・大会,令和7年度東海北陸ブロック地域包括・在宅介護支援センター協議会 福井大会,ブロック,150,福井市,福井県県民ホール/福井市地域交流プラザ
2025-11-28,2025-11-30,会議・大会,第9回日本安全運転医療学会学術集会　敦賀大会,全国,300,敦賀市,プラザ萬象
2025-12-04,2025-12-05,会議・大会,令和7年度 東海北陸地区農協青年組織協議会ＪＡ東海北陸青年大会,全国,200,福井市,ザ・グランユアーズ フクイ/福井県農業会館
2025-12-05,2025-12-06,会議・大会,令和7年度園芸学会北陸支部大会,ブロック,70,福井市,福井県県民ホール/福井市地域交流プラザ
2025-12-06,2025-12-07,会議・大会,地域福祉実践研究フォーラム2025 in 福井,ブロック,100,未定,未定
2025-12-07,2025-12-09,会議・大会,第38回全日本自閉症支援者協会研究大会,全国,260,福井市,ザ・グランユアーズ フクイ
2026-02-20,2026-02-22,会議・大会,学校改革実践研究福井ラウンドテーブル2026 Spring Session,全国,450,福井市,福井大学文京キャンパス
2026-02-27,2026-03-01,会議・大会,第59回日本痛風・尿酸核酸学会総会,全国,400,福井市,福井県県民ホール/福井市地域交流プラザ
2026-03-15,2026-03-17,会議・大会,福井あじさいロータリークラブ25周年式典,国際,150,福井市/あわら市,ザ・グランユアーズ フクイ/グランディア芳泉
2026-04-16,2026-04-18,会議・大会,第112回日本消化器病学会総会,全国,5000,福井市,コートヤード・バイ・マリオット他
2026年6月頃開催予定,,会議・大会,東海北陸ブロック民生委員・児童員関係事業会議,ブロック,60,福井市,未定
2026年7月頃開催予定,,会議・大会,北信越シルバー人材センター連絡協議会　定期総会、役員・事務局長研修,ブロック,100,未定,未定
2026-08-29,2026-08-31,会議・大会,第14回日本DOHaD学会,ブロック,150,福井市,福井県県民ホール
2026年9～10月頃開催予定,,会議・大会,東海北陸地区子ども会育成研究協議会,ブロック,200,未定,未定
2026-10-02,2026-10-03,会議・大会,第41回地方自治研究全国集会 福井自治研（仮称）,全国,2000,福井市,福井県県民ホール/福井市地域交流プラザ
2026-10-10,2026-10-11,会議・大会,第25回東海北陸作業療法学会,ブロック,600,福井市,福井県県民ホール
2026-10-22,2026-10-23,会議・大会,第61回東海・北陸地区小学校長会教育研究福井大会,ブロック,660,福井市/福井市/福井市//,フェニックス・プラザ/福井県県民ホール/福井県国際交流会館
2026年11月頃開催予定,,会議・大会,令和7年度近畿地方発明表彰,ブロック,300,福井市,未定
2026年11月頃開催予定,,会議・大会,北信越シルバー人材センター連絡協議会　職員研修会、経験交流会,ブロック,60,未定,未定
2026-11-10,2026-11-12,会議・大会,全国不動産会議,全国,1300,福井市,コートヤード・バイ・マリオット/フェニックス・プラザ
2026-11-19,2026-11-20,会議・大会,日本保育協会全国大会 福井大会,全国,500,福井市,コートヤード・バイ・マリオット福井
2026-11-26,2026-11-28,会議・大会,第47回日本臨床薬理学会,国際,1800,福井市,福井県県民ホール/福井市地域交流プラザ/ハピリンホール・ハピテラス
2027-02-13,2027-02-14,会議・大会,建築士会東海北陸ブロック会 青年建築士協議会・女性建築士協議会 令和8年度ブロック福井大会（仮称）,ブロック,140,福井市,未定
2025-04-14,2025-04-18,スポーツ大会,北信越学生テニストーナメント大会本選,ブロック,192,福井市, 福井運動公園テニスコート/わかばテニスコート/西公園テニスコート
2025-04-20,,スポーツ大会,第42回OBAMA若狭マラソン大会,全国,1500,小浜市,小浜美郷小学校グラウンド
2025-04-23,2025-04-27,スポーツ大会,令和7年度第85回全日本ウエイトリフティング選手権大会　第39回全日本女子ウエイトリフティング選手権大会,全国,380,福井市,福井県産業会館
2025-05-03,2025-05-05,スポーツ大会,北信越大学バスケットボール春季リーグ戦,ブロック,500,"越前市/
福井市",越前市アイシンスポーツアリーナ/福井市体育館
2025-05-11,,スポーツ大会,第47回鯖江つつじマラソン,全国,2000,鯖江市,鯖江市総合体育館
2025-05-11,,スポーツ大会,第37回美浜・五木ひろしふるさとマラソン大会,全国,3000,美浜町,美浜町丹生特設会場
2025-05-17,2025-05-18,スポーツ大会,第33回若狭・三方五湖ツーデーマーチ,全国,5000,若桜町,若狭町内（三方五湖コース 年縞・縄文博物館コース/鯖街道熊川宿・丹後街道コース）
2025-05-18,,スポーツ大会,第22回あわら市トリムマラソン,全国,1500,あわら市,あわら市トリムマラソンコース
2025-05-19,2025-05-25,スポーツ大会,ITF W15福井 国際女子プロテニスツアー,国際,150,福井市,福井運動公園県営テニス場
2025-05-25,,スポーツ大会,第61回越前大野名水マラソン,全国,2000,大野市,大野市役所駐車場
2025-05-31,,スポーツ大会,2025東尋坊愛のマラニック大会,全国,500,坂井市/勝山市,三国海浜公園/勝山市平泉寺
2025-06-08,,スポーツ大会,第21回勝山恐竜クロカンマラソン大会,全国,2000,勝山市,勝山市体育館
2025-06-15,2025-06-16,スポーツ大会,第16回北信越マレットゴルフ選手権大会,ブロック,150,福井市,福井市スポーツ公園
2025-06-15,,スポーツ大会,第9回坂井しおかぜクロカンマラソン,全国,1000,坂井市,芝政ワールド
2025-06-20,2025-06-22,スポーツ大会,北信越高校バスケットボール選手権大会,ブロック,800,福井市,セーレンドリームアリーナ/福井市体育館
2025-06-28,2025-06-29,スポーツ大会,第三回越前・東尋坊ソフトバレーボール交流会,全国,500,福井市,セーレンドリームアリーナ
2025-06-29,,スポーツ大会,第21回南越前町花はす早朝マラソン大会,ブロック,2500,南越前町,ウォーターランド南条/レインボーパーク南条
2025-07-19,2025-07-23,スポーツ大会,北信越ジュニアテニス選手権大会兼全日本ジュニア北信越予選大会,ブロック,192,福井市,福井運動公園県営テニス場
2025-07-29,2025-08-08,スポーツ大会,第46回北信越中学校総合競技大会,ブロック,5500,"福井市/
敦賀市/
坂井市/
鯖江市/
越前市/
勝山市/
永平寺町",福井県営陸上競技場/敦賀市総合運動公園プール/セーレンドリームアリーナ/ テクノポート福井スタジアム/テクノポート福井総合公園芝生広場/三国運動公園陸上競技場/日東シンコースタジアム丸岡サッカー場/北陸電力福井体育館フレア/福井市体育館/ 福井市 セーレンドリームスタジアム/福井フェニックススタジアム/鯖江市総合体育館/越前市武生中央公園庭球場/越前市アイシンスポーツアリーナ/勝山市体育館ジオアリーナ/きらめきスタジアム/福井県立武道館
2025-08-02,2025-08-05,スポーツ大会,第39回全日本小学生男子ソフトボール大会,全国,1500,福井市,福井市スポーツ公園/きららパーク
2025-08-05,2025-08-07,スポーツ大会,第46回北信越中学校総合競技大会 バトミントン競技,ブロック,1000,勝山市,勝山市体育館ジオアリーナ
2025-08-09,2025-08-11,スポーツ大会,第3回JJSL CUP IN敦賀,国際,2500,敦賀市,敦賀市総合運動公園野球場/きらめきスタジアム他
2025-08-22,2025-08-24,スポーツ大会,第36回あわらカップカヌーポロ大会,全国,600,あわら市,あわら市北潟湖カヌーポロ競技場
2025-08-30,2025-08-31,スポーツ大会,第77回中部日本卓球選手権大会,ブロック,1100,福井市,セーレンドリームアリーナ
2025年10月上旬頃開催予定,,スポーツ大会,ゲッター選手権,全国,200,池田町,農村de合宿キャンプセンター
2025-10-18,2025-10-19,スポーツ大会,第73回北信越高等学校定時制通信制総合体育大会,ブロック,500,福井市,福井市体育館
2025-10-19,,スポーツ大会,第44回敦賀マラソン,全国,2500,敦賀市,敦賀市総合運動公園
2025-10-25,2025-10-26,スポーツ大会,第26回全日本中学生都道府県対抗11人制ホッケー選手権大会,全国,900,越前町,越前町営朝日総合運動場人工芝ホッケー場/福井県立ホッケー場
2025-10-26,,スポーツ大会,第28回若狭高浜はまなすマラソン,全国,800,高浜町,和田漁港駐車場
2025-10-31,2025-11-03,スポーツ大会,第36回全日本都市職員バドミントン大会,全国,800,福井市,福井市体育館
2025-11-07,2025-11-09,スポーツ大会,全国地域サッカーチャンピオンズリーグ,ブロック,120,坂井市,テクノポート福井スタジアム
2025-11-09,,スポーツ大会,第37回マーチングバンド北陸大会,ブロック,400,敦賀市,敦賀市総合運動公園体育館
2025-11-09,,スポーツ大会,第18回坂井市古城マラソン,全国,3000,坂井市,丸岡体育館
2025-11-24,,スポーツ大会,第2回フェニックス杯バウンドテニス大会,全国,200,福井市,福井市体育館
2026-02-05,2026-02-08,スポーツ大会,第35回東アジアホープス日本代表選考会,全国,390,福井市,セーレンドリームアリーナ
2026-03-21,2026-03-22,スポーツ大会,第3回FUKUIオープンラージボール卓球大会,全国,500,越前市,越前市アイシンスポーツアリーナ
2026-03-15,,スポーツ大会,第4回青葉山トレイルマラソン,全国,100,高浜町,高浜町立内浦公民館
2026-03-20,2026-03-22,スポーツ大会,第41回全国高等学校新体操選抜大会,全国,660,福井市,セーレンドリームアリーナ
2026-03-29,,スポーツ大会,ふくい桜マラソン2026,全国,15000,福井市/坂井市,福井市中央公園、県営陸上競技場等
2026年7月頃開催予定,,スポーツ大会,全日本実業団卓球選手権大会,全国,1500,福井市,福井県営体育館
2026年8月頃開催予定,,スポーツ大会,全国高等専門学校体育大会剣道競技,全国,,未定,未定
2026年8月頃開催予定,,スポーツ大会,全国高等専門学校体育大会野球競技,全国,,未定,未定
2026年9月下旬頃開催予定,,スポーツ大会,全日本社会人040/050バスケットボール選手権大会北信越予選会,ブロック,400,未定,未定
2026年12月中旬頃開催予定,,スポーツ大会,全日本バスケットボール選手権大会北信越予選会,ブロック,300,未定,未定
2027年2月上旬頃開催予定,,スポーツ大会,北信越高校新人バスケットボール選手権大会,ブロック,700,未定,未定
2025-09-03,2025-09-04,見本市,フクイ建設技術フェア2025,全国,3000,福井市,福井県産業会館
2025-10-23,2025-10-24,見本市,ふくいITフォーラム2025,全国,18000,福井市,福井県産業会館
