ID,開催年,開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
19,2025,7月29日,8月8日,スポーツ大会,第46回北信越中学校総合競技大会,ブロック,"5,500 ","福井市/
敦賀市/
坂井市/
鯖江市/
越前市/
勝山市/
永平寺町",福井県営陸上競技場/敦賀市総合運動公園プール/セーレンドリームアリーナ/ テクノポート福井スタジアム/テクノポート福井総合公園芝生広場/三国運動公園陸上競技場/日東シンコースタジアム丸岡サッカー場/北陸電力福井体育館フレア/福井市体育館/ 福井市 セーレンドリームスタジアム/福井フェニックススタジアム/鯖江市総合体育館/越前市武生中央公園庭球場/越前市アイシンスポーツアリーナ/勝山市体育館ジオアリーナ/きらめきスタジアム/福井県立武道館
20,2025,8月2日,8月5日,スポーツ大会,第39回全日本小学生男子ソフトボール大会,全国,"1,500 ",福井市,福井市スポーツ公園/きららパーク
21,2025,8月5日,8月7日,スポーツ大会,第46回北信越中学校総合競技大会 バトミントン競技,ブロック,"1,000 ",勝山市,勝山市体育館ジオアリーナ
22,2025,8月9日,8月11日,スポーツ大会,第3回JJSL CUP IN敦賀,国際,"2,500 ",敦賀市,敦賀市総合運動公園野球場/きらめきスタジアム他
23,2025,8月22日,8月24日,スポーツ大会,第36回あわらカップカヌーポロ大会,全国,600 ,あわら市,あわら市北潟湖カヌーポロ競技場
24,2025,8月30日,8月31日,スポーツ大会,第77回中部日本卓球選手権大会,ブロック,"1,100 ",福井市,セーレンドリームアリーナ
25,2025,10月上旬頃開催予定,,スポーツ大会,ゲッター選手権,全国,200 ,池田町,農村de合宿キャンプセンター
26,2025,10月18日,10月19日,スポーツ大会,第73回北信越高等学校定時制通信制総合体育大会,ブロック,500 ,福井市,福井市体育館
27,2025,10月19日,,スポーツ大会,第44回敦賀マラソン,全国,"2,500 ",敦賀市,敦賀市総合運動公園
28,2025,10月25日,10月26日,スポーツ大会,第26回全日本中学生都道府県対抗11人制ホッケー選手権大会,全国,900 ,越前町,越前町営朝日総合運動場人工芝ホッケー場/福井県立ホッケー場
29,2025,10月26日,,スポーツ大会,第28回若狭高浜はまなすマラソン,全国,800 ,高浜町,和田漁港駐車場
30,2025,10月31日,11月3日,スポーツ大会,第36回全日本都市職員バドミントン大会,全国,800 ,福井市,福井市体育館
31,2025,11月7日,11月9日,スポーツ大会,全国地域サッカーチャンピオンズリーグ,ブロック,120 ,坂井市,テクノポート福井スタジアム
32,2025,11月9日,,スポーツ大会,第37回マーチングバンド北陸大会,ブロック,400 ,敦賀市,敦賀市総合運動公園体育館
33,2025,11月9日,,スポーツ大会,第18回坂井市古城マラソン,全国,"3,000 ",坂井市,丸岡体育館
34,2025,11月24日,,スポーツ大会,第2回フェニックス杯バウンドテニス大会,全国,200 ,福井市,福井市体育館
35,2026,2月5日,2月8日,スポーツ大会,第35回東アジアホープス日本代表選考会,全国,390 ,福井市,セーレンドリームアリーナ
36,2026,3月21日,3月22日,スポーツ大会,第3回FUKUIオープンラージボール卓球大会,全国,500 ,越前市,越前市アイシンスポーツアリーナ
37,2026,3月15日,,スポーツ大会,第4回青葉山トレイルマラソン,全国,100 ,高浜町,高浜町立内浦公民館
38,2026,3月20日,3月22日,スポーツ大会,第41回全国高等学校新体操選抜大会,全国,660 ,福井市,セーレンドリームアリーナ
39,2026,3月29日,,スポーツ大会,ふくい桜マラソン2026,全国,"15,000 ",福井市/坂井市,福井市中央公園、県営陸上競技場等
1,2026,7月頃開催予定,,スポーツ大会,全日本実業団卓球選手権大会,全国,"1,500 ",福井市,福井県営体育館
2,2026,8月頃開催予定,,スポーツ大会,全国高等専門学校体育大会剣道競技,全国,,未定,未定
3,2026,8月頃開催予定,,スポーツ大会,全国高等専門学校体育大会野球競技,全国,,未定,未定
4,2026,9月下旬頃開催予定,,スポーツ大会,全日本社会人040/050バスケットボール選手権大会北信越予選会,ブロック,400 ,未定,未定
5,2026,12月中旬頃開催予定,,スポーツ大会,全日本バスケットボール選手権大会北信越予選会,ブロック,300 ,未定,未定
6,2027,2月上旬頃開催予定,,スポーツ大会,北信越高校新人バスケットボール選手権大会,ブロック,700 ,未定,未定
