ID,開催年,開催日,開催終了日,カテゴリー,コンベンション名,規模,参加者予定数,開催地,開催場所
1,2025,4月14日,4月18日,スポーツ大会,北信越学生テニストーナメント大会本選,ブロック,192 ,福井市, 福井運動公園テニスコート/わかばテニスコート/西公園テニスコート
2,2025,4月20日,,スポーツ大会,第42回OBAMA若狭マラソン大会,全国,"1,500 ",小浜市,小浜美郷小学校グラウンド
3,2025,4月23日,4月27日,スポーツ大会,令和7年度第85回全日本ウエイトリフティング選手権大会　第39回全日本女子ウエイトリフティング選手権大会,全国,380 ,福井市,福井県産業会館
4,2025,5月3日,5月5日,スポーツ大会,北信越大学バスケットボール春季リーグ戦,ブロック,500 ,"越前市/
福井市",越前市アイシンスポーツアリーナ/福井市体育館
5,2025,5月11日,,スポーツ大会,第47回鯖江つつじマラソン,全国,"2,000 ",鯖江市,鯖江市総合体育館
6,2025,5月11日,,スポーツ大会,第37回美浜・五木ひろしふるさとマラソン大会,全国,"3,000 ",美浜町,美浜町丹生特設会場
7,2025,5月17日,5月18日,スポーツ大会,第33回若狭・三方五湖ツーデーマーチ,全国,"5,000 ",若桜町,若狭町内（三方五湖コース 年縞・縄文博物館コース/鯖街道熊川宿・丹後街道コース）
8,2025,5月18日,,スポーツ大会,第22回あわら市トリムマラソン,全国,"1,500 ",あわら市,あわら市トリムマラソンコース
9,2025,5月19日,5月25日,スポーツ大会,ITF W15福井 国際女子プロテニスツアー,国際,150 ,福井市,福井運動公園県営テニス場
10,2025,5月25日,,スポーツ大会,第61回越前大野名水マラソン,全国,"2,000 ",大野市,大野市役所駐車場
11,2025,5月31日,,スポーツ大会,2025東尋坊愛のマラニック大会,全国,500 ,坂井市/勝山市,三国海浜公園/勝山市平泉寺
12,2025,6月8日,,スポーツ大会,第21回勝山恐竜クロカンマラソン大会,全国,"2,000 ",勝山市,勝山市体育館
13,2025,6月15日,6月16日,スポーツ大会,第16回北信越マレットゴルフ選手権大会,ブロック,150 ,福井市,福井市スポーツ公園
14,2025,6月15日,,スポーツ大会,第9回坂井しおかぜクロカンマラソン,全国,"1,000 ",坂井市,芝政ワールド
15,2025,6月20日,6月22日,スポーツ大会,北信越高校バスケットボール選手権大会,ブロック,800 ,福井市,セーレンドリームアリーナ/福井市体育館
16,2025,6月28日,6月29日,スポーツ大会,第三回越前・東尋坊ソフトバレーボール交流会,全国,500 ,福井市,セーレンドリームアリーナ
17,2025,6月29日,,スポーツ大会,第21回南越前町花はす早朝マラソン大会,ブロック,"2,500 ",南越前町,ウォーターランド南条/レインボーパーク南条
18,2025,7月19日,7月23日,スポーツ大会,北信越ジュニアテニス選手権大会兼全日本ジュニア北信越予選大会,ブロック,192 ,福井市,福井運動公園県営テニス場
